,Date,Value in USD,%-change,not taxed investment,not taxed Profit,-18.03,Reinvestment,transaction_cost
0,"Jan 30, 1970",100,0.0,0.0,0.0,22.0,0.0,0
1,"Feb 27, 1970",101,0.010000000000000009,0.0,0.0,19.80,0.0,0
2,"Mar 31, 1970",102,0.00990099009900991,0.0,0.0,17.65,0.0,0
3,"Apr 30, 1970",103,0.009803921568627416,0.0,0.0,15.53,0.0,0
4,"May 29, 1970",104,0.009708737864077666,0.0,0.0,13.46,0.0,0
5,"Jun 30, 1970",105,0.009615384615384581,0.0,0.0,11.43,0.0,0
6,"Jul 31, 1970",106,0.00952380952380949,0.0,0.0,9.43,0.0,0
7,"Aug 31, 1970",107,0.009433962264151052,0.0,0.0,7.48,0.0,0
8,"Sep 30, 1970",108,0.009345794392523255,0.0,0.0,5.56,0.0,0
9,"Oct 30, 1970",109,0.0092592592592593,0.0,0.0,3.67,0.0,0
10,"Nov 30, 1970",110,0.00917431192660545,0.0,0.0,1.82,0.0,0
11,"Dec 31, 1970",111,0.009090909090909038,0,0.0,273.28,2327.83,23.2782
12,"Jan 29, 1971",112,0.01,0,0,19.64,0,0
13,"Feb 26, 1971",113,0.01,0,0,17.7,0,0
14,"Mar 31, 1971",114,0.01,0,0,15.79,0,0
15,"Apr 30, 1971",115,0.01,0,0,13.91,0,0
16,"May 31, 1971",116,0.01,0,0,12.07,0,0
17,"Jun 30, 1971",117,0.01,0,0,10.26,0,0
18,"Jul 30, 1971",118,0.01,0,0,8.47,0,0
19,"Aug 31, 1971",119,0.01,0,0,6.72,0,0
20,"Sep 30, 1971",120,0.01,0,0,5,0,0
21,"Oct 29, 1971",121,0.01,0,0,3.31,0,0
22,"Nov 30, 1971",122,0.01,0,0,1.64,0,0
23,"Dec 31, 1971",123,0.01,5115.62,0,518.6,5115.62,51.15
24,"Jan 31, 1972",122,0.01,0,0,18.03,0,0
25,"Feb 29, 1972",121,0.01,0,0,-16.53,0,0
26,"Mar 31, 1972",120,0.01,0,0,-15,0,0
27,"Apr 28, 1972",119,0.01,0,0,-13.45,0,0
28,"May 31, 1972",118,0.01,0,0,-11.86,0,0
29,"Jun 30, 1972",117,0.01,0,0,-10.26,0,0
30,"Jul 31, 1972",116,0.01,0,0,-8.62,0,0
31,"Aug 31, 1972",115,0.01,0,0,-6.96,0,0
32,"Sep 29, 1972",114,0.01,0,0,-5.26,0,0
33,"Oct 31, 1972",113,0.01,0,0,-3.54,0,0
34,"Nov 30, 1972",112,0.01,0,0,-1.79,0,0
35,"Dec 29, 1972",111,0.01,7085.73,0,0,6885.73,68.8572766
